"Date","Price","Open","High","Low","Vol.","Change %"
"11/28/2025","47,716.42","47,482.25","47,750.77","47,475.61","272.51M","0.61%"
"11/26/2025","47,427.12","47,196.15","47,571.40","47,196.15","458.14M","0.67%"
"11/25/2025","47,112.45","46,482.36","47,182.90","46,341.35","659.61M","1.43%"
"11/24/2025","46,448.27","46,351.93","46,587.71","46,108.01","748.69M","0.44%"
"11/21/2025","46,245.41","45,808.65","46,577.50","45,781.58","795.91M","1.08%"
"11/20/2025","45,752.26","46,567.51","46,856.75","45,728.93","729.23M","-0.84%"
"11/19/2025","46,138.77","46,138.68","46,299.13","45,905.19","555.37M","0.10%"
"11/18/2025","46,091.74","46,382.92","46,382.92","45,913.60","598.05M","-1.07%"
"11/17/2025","46,590.24","47,068.06","47,202.56","46,430.27","514.87M","-1.18%"
"11/14/2025","47,147.48","47,222.38","47,380.07","46,863.05","553.82M","-0.65%"
"11/13/2025","47,457.22","48,173.92","48,233.25","47,411.10","610.42M","-1.65%"
"11/12/2025","48,254.82","48,015.79","48,431.57","48,015.79","501.49M","0.68%"
"11/11/2025","47,927.96","47,384.51","47,974.37","47,384.51","454.97M","1.18%"
"11/10/2025","47,368.63","47,095.06","47,412.89","46,934.35","490.08M","0.81%"
"11/07/2025","46,987.10","46,797.03","46,996.71","46,495.62","591.10M","0.16%"
"11/06/2025","46,912.30","47,255.12","47,359.29","46,787.44","552.16M","-0.84%"
"11/05/2025","47,311.00","47,097.31","47,460.36","47,041.31","469.01M","0.48%"
"11/04/2025","47,085.24","47,148.04","47,274.90","46,877.06","514.66M","-0.53%"
"11/03/2025","47,336.68","47,697.33","47,697.33","47,135.96","571.74M","-0.48%"
"10/31/2025","47,562.87","47,659.96","47,718.38","47,347.28","716.64M","0.09%"
"10/30/2025","47,522.12","47,446.88","48,014.92","47,381.91","614.87M","-0.23%"
"10/29/2025","47,632.00","47,746.79","48,040.64","47,448.59","694.17M","-0.16%"
"10/28/2025","47,706.37","47,752.35","47,943.16","47,675.70","609.30M","0.34%"
"10/27/2025","47,544.59","47,412.80","47,564.52","47,375.96","433.36M","0.71%"
"10/24/2025","47,207.12","46,811.51","47,326.73","46,811.51","406.03M","1.01%"
"10/23/2025","46,734.61","46,519.13","46,802.15","46,490.06","407.57M","0.31%"
"10/22/2025","46,590.41","46,941.56","46,941.56","46,461.52","458.46M","-0.71%"
"10/21/2025","46,924.74","46,707.08","47,125.66","46,688.25","436.74M","0.47%"
